Date,FeSO4,CFeO,C,,
3/22/2023,,,,,
3/23/2023,325,,,,
3/24/2023,,,,,
3/25/2023,325,,1000,,
3/26/2023,,,,,
3/27/2023,,,,,
3/28/2023,325,,1000,,
3/29/2023,,,,,
3/30/2023,,,,,
3/31/2023,325,,1000,,
4/1/2023,,,,,
4/2/2023,325,,1000,,
4/3/2023,,,,,
4/4/2023,,,,,
4/5/2023,,,,,
4/6/2023,325,,250,,
4/7/2023,,,,,
4/8/2023,,,,,
4/9/2023,,,,,
4/10/2023,325,,1000,,
4/11/2023,,,,,
4/12/2023,,,,,
4/13/2023,,,,,
4/14/2023,325,,1000,,
4/15/2023,,,,,
4/16/2023,,,,,
4/17/2023,,,,,
4/18/2023,,,,,
4/19/2023,325,,1000,,
4/20/2023,,,,,
4/21/2023,325,,1000,,
4/22/2023,,,,,
4/23/2023,,,,,
4/24/2023,,,,,
4/25/2023,,,,,
4/26/2023,,,,,
4/27/2023,325,,1000,,
4/28/2023,,,,,
4/29/2023,,150,1000,,
4/30/2023,,,,,
5/1/2023,,,,,
5/2/2023,,,,,
5/3/2023,,,,,
5/4/2023,,,,,
5/5/2023,325,,1000,,
5/6/2023,,,,,
5/7/2023,325,,1000,,
5/8/2023,,,,,
5/9/2023,325,,1000,,
5/10/2023,,,,,
5/11/2023,,,,,
5/12/2023,,,,,
5/13/2023,325,,1000,,
5/14/2023,,,,,
5/15/2023,,,,,
5/16/2023,,,,,
5/17/2023,,,,,
5/18/2023,,,,,
5/19/2023,325,,1000,,
5/20/2023,,,,,
5/21/2023,,,,,
5/22/2023,,,,,
5/23/2023,,,,,
5/24/2023,325,,1000,,
5/25/2023,,,,,
5/26/2023,325,,1000,,
5/27/2023,,,,,
5/28/2023,325,,1000,,
5/29/2023,,,,,
5/30/2023,,,,,
5/31/2023,325,,1000,,
6/1/2023,,,,,
6/2/2023,,,,,
6/3/2023,325,,,,
6/4/2023,,,,,
6/5/2023,,,,,
6/6/2023,,,,,
6/7/2023,325,,1000,,
6/8/2023,,,,,
6/9/2023,325,,1000,,
6/10/2023,,,,,
6/11/2023,325,,1000,,
6/12/2023,325,50,,,
6/13/2023,,,,,
6/14/2023,,50,,,
6/15/2023,325,50,500,,
6/16/2023,,,,,
6/17/2023,325,,1000,,
6/18/2023,,,,,
6/19/2023,325,,1000,,
6/20/2023,,,,,
6/21/2023,,,,,
6/22/2023,325,,1000,,
6/23/2023,325,,1000,,
6/24/2023,,,,,
6/25/2023,325,,500,,
6/26/2023,,,,,
6/27/2023,325,,500,,
6/28/2023,,,,,
6/29/2023,325,,500,,
6/30/2023,,,,,
7/1/2023,325,,500,,
7/2/2023,,,,,
7/3/2023,325,,500,,
7/4/2023,,,,,
7/5/2023,325,,500,,
7/6/2023,,,,,
7/7/2023,325,,500,,
7/8/2023,,,,,
7/9/2023,325,,500,,
7/10/2023,,,,,
7/11/2023,,,,,
7/12/2023,325,,500,,
7/13/2023,,,,,
7/14/2023,,,,,
7/15/2023,325,,500,,
7/16/2023,,,,,
7/17/2023,325,,500,,
7/18/2023,,,,,
7/19/2023,325,,500,,
7/20/2023,,,,,
7/21/2023,,,,,
7/22/2023,325,,500,,
7/23/2023,,,,,
7/24/2023,,,,,
7/25/2023,,,,,
7/26/2023,,,,,
7/27/2023,325,,500,,
7/28/2023,,,,,
7/29/2023,325,,500,,
7/30/2023,,,,,
7/31/2023,325,,500,,
8/1/2023,,,,,
8/2/2023,325,,500,,
8/3/2023,,,,,
8/4/2023,325,,500,,
8/5/2023,,,,,
8/6/2023,,,,,
8/7/2023,325,,500,,
8/8/2023,,,,,
8/9/2023,325,,500,,
8/10/2023,,,,,
8/11/2023,325,,500,,
8/12/2023,,,,,
8/13/2023,,,,,
8/14/2023,325,,500,,
8/15/2023,,,,,
8/16/2023,325,,500,,
8/17/2023,,,,,
8/18/2023,325,,,,
8/19/2023,,,,,
8/20/2023,,,,,
8/21/2023,325,,,,
8/22/2023,,,,,
8/23/2023,325,,500,,
8/24/2023,,,,,
8/25/2023,,,,,
8/26/2023,325,,500,,
8/27/2023,,,,,
8/28/2023,,,,,
8/29/2023,325,,500,,
8/30/2023,,,,,
8/31/2023,,,,,
9/1/2023,325,,500,,
9/2/2023,,,,,
9/3/2023,,,,,
9/4/2023,325,,500,,
